Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-04-10,71,Murcia,1383,533.0,88.0,90.0,255,27
2020-04-10,71,Navarra,3748,1620.0,124.0,218.0,560,173
2020-04-10,71,Pais Vasco,10103,5290.0,442.0,729.0,4680,297
2020-04-10,71,La Rioja,3076,1047.0,71.0,196.0,1256,50
2020-04-11,72,Andalucia,9712,4808.0,602.0,737.0,1630,202
2020-04-11,72,Aragon,3969,1860.0,266.0,425.0,888,138
2020-04-11,72,Asturias,1827,1147.0,105.0,128.0,414,28
2020-04-11,72,Baleares,1507,778.0,137.0,102.0,757,19
2020-04-11,72,Canarias,1887,745.0,144.0,95.0,432,29
2020-04-11,72,Cantabria,1719,773.0,75.0,107.0,281,60
2020-04-11,72,Castilla La Mancha,13456,2198.0,316.0,1483.0,2205,393
2020-04-11,72,Castilla y Leon,11543,5817.0,327.0,1180.0,3757,441
2020-04-11,72,Cataluña,32984,21921.0,2629.0,3331.0,14258,1160
2020-04-11,72,Ceuta,93,9.0,4.0,4.0,17,2
2020-04-11,72,C. Valenciana,8578,4132.0,565.0,818.0,2289,247
2020-04-11,72,Extremadura,2486,1052.0,104.0,303.0,462,154
2020-04-11,72,Galicia,7176,2215.0,144.0,261.0,1082,230
2020-04-11,72,Madrid,45849,11894.0,1376.0,6084.0,23663,1066
2020-04-11,72,Melilla,98,43.0,3.0,2.0,18,3
2020-04-11,72,Murcia,1413,533.0,88.0,94.0,275,30
2020-04-11,72,Navarra,3817,1641.0,124.0,227.0,603,69
2020-04-11,72,Pais Vasco,10515,5402.0,453.0,765.0,4741,412
2020-04-11,72,La Rioja,3223,1082.0,73.0,207.0,1337,147
2020-04-12,73,Andalucia,10006,4950.0,619.0,799.0,1838,294
2020-04-12,73,Aragon,4070,1901.0,272.0,450.0,934,101
2020-04-12,73,Asturias,1892,1208.0,106.0,140.0,430,65
2020-04-12,73,Baleares,1534,805.0,142.0,112.0,848,27
2020-04-12,73,Canarias,1918,758.0,144.0,95.0,447,31
2020-04-12,73,Cantabria,1752,805.0,75.0,110.0,297,33
2020-04-12,73,Castilla La Mancha,13698,6838.0,316.0,1543.0,2365,242
2020-04-12,73,Castilla y Leon,12118,5957.0,323.0,1221.0,4010,575
2020-04-12,73,Cataluña,34027,22369.0,2658.0,3442.0,14975,1043
2020-04-12,73,Ceuta,93,9.0,4.0,4.0,17,0
2020-04-12,73,C. Valenciana,8841,4149.0,567.0,838.0,2624,263
2020-04-12,73,Extremadura,2580,1074.0,106.0,312.0,481,94
2020-04-12,73,Galicia,7336,2306.0,140.0,274.0,1143,160
2020-04-12,73,Madrid,46587,11424.0,1332.0,6278.0,24683,738
2020-04-12,73,Melilla,98,43.0,3.0,2.0,18,0
2020-04-12,73,Murcia,1449,537.0,91.0,97.0,344,36
2020-04-12,73,Navarra,3969,1663.0,124.0,232.0,650,152
2020-04-12,73,Pais Vasco,10772,5547.0,459.0,804.0,4867,257
2020-04-12,73,La Rioja,3279,1122.0,73.0,219.0,1420,56
2020-04-13,74,Andalucia,10187,4993.0,621.0,815.0,1967,181
2020-04-13,74,Aragon,4187,1938.0,274.0,464.0,946,117
2020-04-13,74,Asturias,1958,1265.0,110.0,149.0,434,66
2020-04-13,74,Baleares,1550,811.0,143.0,117.0,862,16
2020-04-13,74,Canarias,1944,763.0,145.0,96.0,458,26
2020-04-13,74,Cantabria,1777,827.0,75.0,117.0,317,25
2020-04-13,74,Castilla La Mancha,14054,7782.0,475.0,1626.0,2532,356
2020-04-13,74,Castilla y Leon,12628,6077.0,312.0,1263.0,4154,510
2020-04-13,74,Cataluña,34726,22780.0,2713.0,3538.0,15602,699
2020-04-13,74,Ceuta,95,9.0,4.0,4.0,20,2
2020-04-13,74,C. Valenciana,9060,4269.0,576.0,876.0,2803,219
